injection,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.0752,0.1032,0.079,0.1565,0.1111,0.0939,0.2336,0.2325,0,0,0,0,0,0,0
mix1_0.5,0.255,0.5372,0.4222,0.7749,0.5447,0.7538,1.1921,1.1812,0,0,0,0,0,0,0
mix1_1,0.5799,1.1481,0.8532,1.654,1.1797,1.7676,2.5077,2.5086,0,0,0,0,0,0,0
mix1_5,1.7707,6.0721,4.6796,8.7578,6.3518,12.202,13.0229,13.15,0,0,0,0,0,0,0
mix1_10,3.2952,11.6637,8.9053,16.5819,12.0179,23.7868,24.9286,25.0926,0,0,0,0,0,0,0
mix1_25,6.9671,26.0807,19.9227,37.0357,26.7886,53.6329,54.6307,55.8831,0,0,0,0,0,0,0
mix1_50,13.6878,50.9445,39.2498,72.4545,52.2717,103.7033,104.4818,107.339,0,0,0,0,0,0,0
mix1_100,32.5955,94.5517,73.5203,133.0393,96.4237,155.6422,169.9406,181.8192,0,0,0,0,0,0,0
wash,0,0,0,0,0,0.0378,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0281,0.0993,0.1029,0.0806,0.1718,0.2199,0.3125
mix2_0.5,0,0,0,0,0,0,0,0,0.1426,0.4896,0.5072,0.726,0.9038,1.1428,1.1997
mix2_1,0,0,0,0,0,0,0,0,0.2908,0.9891,1.0296,1.609,1.8327,2.3064,2.2166
mix2_5,0,0,0,0,0,0,0,0,1.2982,4.4166,4.5457,9.1389,8.2405,10.2338,9.2662
mix2_10,0,0,0,0,0,0,0,0,2.5971,8.6147,8.792,17.8459,15.7201,19.6631,17.4435
mix2_25,0,0,0,0,0,0,0,0,6.632,22.5459,23.0952,47.2105,41.5997,51.9504,45.7148
mix2_50,0,0,0,0,0,0,0,0,11.5853,39.2391,40.146,82.0439,72.5777,89.1866,77.9238
mix2_100,0,0,0,0,0,0,0,0,21.3187,72.3273,73.4637,140.0455,130.6284,151.7809,134.16
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15mix,2.1268,6.3884,5.7124,10.5975,7.6457,15.1696,15.1744,15.9581,1.9305,5.9754,6.0434,12.6682,11.035,13.3565,12.2186
1,0,0,0,0,0.2195,0,0,0.382,0,0,0,0,1.7547,0,0
2,0,16.8281,0,0,0,0,0,0,0,0,0,0,5.6161,0,0
2-1,0,11.2597,1.0199,8.9574,0,0,1.5444,0,0,0,0,0,0,0,0
3,2.8034,0,0,2.3794,0.5326,0,0.8343,0,0,3.8813,0,0,0,0,0
4,0,74.2965,5.8682,1.4805,0,0.8939,0.0768,0.4174,0,0,0,0,0,0,0
5,5.6867,68.5973,2.1521,50.0214,0,1.2965,0.8494,0,0,0,0,0,71.8209,0,1.2598
5-1,0.7181,20.4801,5.101,34.083,0,0.3105,1.4959,0.1817,0,0,0,0,4.3039,0,0
6,0,0,1.187,0,0,0,0,0,0,16.1716,5.7606,0,0.7342,0,0
7,0,0,0,78.4626,0,0,2.6359,0,0,2.0174,1.6478,0,24.1344,0,0
7-1,0,0,0,26.4361,0,0,1.9345,0,0,0,0,0,2.2389,0,0
15mix,2.0872,0,5.5251,10.3423,7.4924,14.8102,14.7597,15.5671,1.8263,5.8398,5.9387,18.5213,10.725,13.0154,12.013
8,0,0,0,18.9002,0,0,5.5746,0,0,0,0,0,2.0784,0,0.395
9,0,0,0,0,0,0,0,0,0,3.0677,5.6527,1.1474,1.7781,0.4887,0
9-1,0,0,0,1.1289,0,0,0,0,0,1.2072,4.0766,0,1.4029,0.5588,0
10,1.9619,0,0,0,3.3435,0,0,0,0,20.9521,0,4.3093,6.8373,0,2.9743
10-1,0,0,0,0,2.6261,0,0.1835,0,0,6.823,0.1902,2.2764,1.2469,0.125,0
11,0,35.9827,3.0706,0,0,0.6513,0.1521,0,0,0,0,0,55.694,0,0.8606
11-1,0,27.6827,2.6564,20.465,0,0.5677,0.6203,0,0,0.643,0,0,29.4505,0,0.6827
12,0,13.8334,0,0,0,0,0,0,0,0,0,0,7.7098,0,0.3026
12-1,0,9.2677,3.9906,0,0,0,0,0,0,0,0.1273,0,4.9365,0,0.3042
13,8.3599,104.0357,1.6233,23.4376,0,2.4595,0.5075,0,0,0,0,0,16.0036,0,0.4875
15mix,2.0751,0,5.4936,10.3886,7.4874,14.7658,14.7832,15.4971,1.8194,5.7833,5.9152,18.5149,10.7652,13.0206,11.9838
13-1,0,51.6955,2.8109,21.5342,0,0.6284,0.4579,0,0,1.218,0,0,10.5088,0,0
14,0,0,0.183,0,0.7231,0,0,0,0,1.993,18.2611,4.6586,0,0,0
14-1,0,0,0.5841,0.9935,0,0,0,0,0,1.2499,10.5218,7.3597,0,0.9778,0
15,0,0,0,0.1337,0,0,0,0,0,1.0043,1.7207,0.8884,0.5777,0.34,0
15-1,0,0,0,4.9022,0,0,0.5997,0,0,1.8528,1.5659,0.7211,3.2417,0.8156,0
16,0,0,1.352,0,0,0,0,0,0,3.7458,9.6392,4.7129,5.3968,1.8659,0.6125
16-1,0,3.5474,2.5042,0,0.1281,0,0,0.1624,0,0.5485,2.4295,0,1.3753,0.9884,0
17,0,80.5467,21.7317,4.0162,0,1.9671,0.3228,0.8729,0,0,0,0,6.5695,0,0.3977
17-1,0.3717,32.2569,18.9854,9.0714,0,0.2821,0.2926,0.4411,0,0.474,0,0,0.367,0,0
18,7.429,0,0,15.2647,0.4823,0,6.9323,0,2.3283,6.0702,0,0,0.1618,0.0532,0
15mix,1.8664,0,5.0903,9.9507,7.2105,14.2827,14.5535,15.0393,1.6621,5.4616,5.6684,17.7624,10.5751,12.5445,11.4928
19,10.681,0,0.479,4.1287,0,0,0.4487,0,0,0,0,0,0,0,0
20,0,11.5911,1.9037,0.5735,0,3.6982,0,4.0976,0,0,0,0,0.632,0.5784,0.5714
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402,0
24,0,0,0,0.5265,0,0,0.6805,0,0,0,0,0,0,0,0
25,0,103.6586,53.2582,117.6036,0,6.9647,15.3123,8.0319,0,0,0,0,2.0735,0,1.5508
26,0.8444,24.7422,8.8229,0,0.4922,5.0074,1.229,1.3341,0,0,2.8943,0,10.5852,1.4851,2.183
26-1,0,17.9643,14.2643,8.5271,0.8967,1.0733,1.3495,1.753,0,0.5401,0,0,7.2961,0.5859,0.7955
27,13.8518,0,0,0,0.1605,0,0,0,0,1.6225,0.6865,0,0,0,0
15mix,1.8318,6.7276,4.845,9.9372,7.2185,14.191,14.4695,14.9707,1.6072,5.4236,5.6046,10.8958,10.7896,12.5063,11.3666
28,0,45.4052,0,13.4902,0,3.4446,2.2033,0,0,0,0,1.2497,3.9365,0,0.7277
28-1,0,24.0117,2.6272,11.7294,0,2.5863,6.4538,0.606,0,0,0,0.8546,2.2378,0,0
29,0,56.9108,16.8221,43.3689,0,13.1021,10.1281,2.465,0,0,0,0,1.8316,0,0
30,2.7222,0,0,0,6.8864,0,0,0,0,8.9833,0,0,36.1587,2.2293,21.1241
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
